ITID,Village,PMR,District,BirthPeriod,agecohort,Csex,order,AgeStopFeed,HSCAT,mother,kids,father,time,status
1000000002,30,Duo,1,1980-1989,20-25,daughter,1st,24,Small,0.4167,0.38,0.03125,24,0
1000000002,30,Duo,1,1980-1989,>25,daughter,2nd,NA,Small,0.42,0.38,0.03125,24,0
1000000022,30,Duo,1,>=1990,<20,daughter,1st,5,Big,0.27,0.16,0.03125,5,1
1000000037,30,Duo,1,1980-1989,>25,son,2nd,0,Medium,0.3,0.2,0.03125,0,0
1000000073,30,Duo,1,<1980,>25,son,2nd,36,Big,0.5,0.34,0.34375,24,0
1000000084,30,Duo,1,>=1990,20-25,son,1st,0,Big,0.3,0.17,0.03125,0,1
1000000162,30,Patri,1,1980-1989,>25,daughter,2nd,12,Big,0.13,0.13,0.375,12,1
1000000221,28,Duo,1,>=1990,>25,daughter,1st,36,Big,0.42,0.38,0,24,0
1000000227,28,Duo,1,1980-1989,>25,son,1st,24,Medium,0.36,0.21,0.142857143,24,0
1000000296,28,Duo,1,<1980,>25,son,1st,0,Small,0.5,0.5,0.03125,0,1
1000000306,30,Duo,1,>=1990,<20,son,1st,3,Big,0.28,0.17,0.375,3,0
1000000314,28,Duo,1,>=1990,<20,son,1st,36,Medium,0.2,0.4,0,24,0
1000000314,28,Duo,1,>=1990,20-25,son,2nd,12,Medium,0.2,0.4,0,12,1
1000000359,28,Duo,1,>=1990,<20,daughter,1st,24,Medium,0.5,0.29,0,24,0
1000000359,28,Duo,1,>=1990,20-25,daughter,2nd,12,Medium,0.5,0.33,0,12,1
1000000359,28,Duo,1,>=1990,20-25,daughter,2nd,2,Medium,0.5,0.33,0,2,0
1000000503,28,Duo,1,1980-1989,>25,son,1st,36,Medium,0.45,0.33,0,24,0
1000000528,28,Neo,1,<1980,>25,son,1st,12,Medium,0.38,0.38,0,12,1
1000000528,28,Neo,1,<1980,>25,son,2nd,48,Medium,0.38,0.38,0,24,0
1000000567,30,Duo,1,1980-1989,>25,son,1st,12,Small,0.39,0.27,0,12,1
1000000567,30,Duo,1,1980-1989,>25,son,2nd,12,Small,0.39,0.27,0,12,1
1000000616,30,Duo,1,>=1990,<20,son,1st,24,Medium,0.5,0.35,0,24,0
1000000616,30,Duo,1,>=1990,20-25,son,2nd,3,Medium,0.5,0.35,0,3,0
1000000635,30,Duo,1,>=1990,<20,son,1st,16,Medium,0.5,0.35,0,16,0
1000000635,30,Duo,1,>=1990,20-25,son,2nd,24,Medium,0.5,0.35,0,24,0
1000000797,30,Duo,1,>=1990,20-25,son,1st,24,Medium,0.5,0.33,0,24,0
1000000881,28,Duo,1,1980-1989,>25,daughter,1st,12,Big,0.38,0.22,0,12,1
1000000939,28,Duo,1,>=1990,<20,son,1st,36,Medium,0.5,0.31,0,24,0
1000000973,28,Duo,1,<1980,>25,son,1st,24,Big,0.38,0.22,0.03125,24,0
1000001082,28,Duo,1,1980-1989,>25,daughter,1st,12,Big,0.41,0.33,0.03125,12,1
1000001082,28,Duo,1,1980-1989,>25,son,2nd,12,Big,0.41,0.33,0.375,12,1
1000001082,28,Duo,1,1980-1989,>25,son,2nd,12,Big,0.41,0.33,0.375,12,1
1000001092,28,Duo,1,>=1990,20-25,daughter,1st,12,Big,0.17,0.17,0.375,12,1
1000001092,28,Duo,1,>=1990,20-25,son,2nd,12,Big,0.17,0.17,0,12,1
1000001092,28,Duo,1,>=1990,20-25,son,2nd,12,Big,0.17,0.17,0,12,1
1000001120,28,Duo,1,>=1990,20-25,daughter,1st,60,Big,0.38,0.35,0,24,0
1000001120,28,Duo,1,>=1990,20-25,daughter,2nd,36,Big,0.38,0.35,0,24,0
1000001159,28,Duo,1,>=1990,20-25,daughter,1st,12,Medium,0.39,0.23,0,12,1
1000001159,28,Duo,1,>=1990,20-25,son,2nd,12,Medium,0.39,0.23,0,12,1
1000001174,28,Duo,1,>=1990,20-25,son,1st,7,Medium,0.42,0.25,0,7,1
1000001259,28,Duo,1,>=1990,20-25,daughter,1st,12,Big,0.4,0.24,0,12,1
1000001311,28,Duo,1,<1980,>25,son,1st,36,Big,0.32,0.2,0.03125,24,0
1000001311,28,Duo,1,<1980,>25,daughter,2nd,36,Big,0.32,0.2,0.03125,24,0
1000001346,28,Duo,1,>=1990,20-25,son,1st,5,Big,0.46,0.35,0.03125,5,1
1000001346,28,Duo,1,>=1990,20-25,son,2nd,5,Big,0.46,0.35,0.03125,5,1
1000001346,28,Duo,1,>=1990,20-25,son,2nd,5,Big,0.46,0.35,0.03125,5,1
1000001370,28,Neo,1,>=1990,20-25,son,1st,3,Medium,0.38,0.5,0.375,3,1
1000001370,28,Neo,1,>=1990,20-25,son,2nd,12,Medium,0.38,0.5,0.375,12,1
1000001370,28,Neo,1,>=1990,>25,daughter,2nd,12,Medium,0.38,0.5,0.375,12,1
1000001370,28,Neo,1,>=1990,>25,son,2nd,NA,Medium,0.38,0.5,0.375,24,0
1000001464,30,Duo,1,>=1990,<20,son,1st,24,Medium,0.5,0.35,0,24,1
1000001464,30,Duo,1,>=1990,20-25,daughter,2nd,NA,Medium,0.5,0.35,0,24,1
1000001493,30,Duo,1,>=1990,20-25,son,2nd,6,Medium,0.4,0.25,0.375,6,1
1000001538,30,Duo,1,>=1990,<20,son,1st,36,Medium,0.5,0.31,0,24,0
1000001538,30,Duo,1,>=1990,20-25,son,2nd,1,Medium,0.5,0.31,0,1,0
1000001666,28,Duo,1,>=1990,20-25,daughter,1st,24,Medium,0.38,0.5,0,24,1
1000001678,28,Neo,1,<1980,>25,daughter,1st,24,Small,0.5,0.5,0,24,1
1000001706,28,Duo,1,>=1990,<20,son,1st,0.3,Big,0.45,0.38,0,0.3,0
1000001712,28,Duo,1,>=1990,<20,son,1st,1,Big,0.43,0.25,0,1,0
1000001763,28,Duo,1,>=1990,20-25,daughter,1st,8,Medium,0.42,0.38,0,8,1
1000001772,28,Duo,1,>=1990,<20,daughter,1st,7,Big,0.36,0.21,0,7,1
1000001787,28,Duo,1,1980-1989,20-25,daughter,1st,7,Big,0.39,0.23,0,7,1
1000001787,28,Duo,1,1980-1989,>25,daughter,2nd,7,Big,0.39,0.23,0,7,1
1000001798,28,Duo,1,1980-1989,20-25,son,1st,3,Small,0.39,0.25,0.375,3,1
1000001829,28,Duo,1,1980-1989,20-25,daughter,1st,60,Big,0.47,0.29,0,24,0
1000001861,28,Matri,1,>=1990,20-25,daughter,1st,12,Big,0.45,0.26,0,12,1
1000001933,28,Duo,1,>=1990,20-25,daughter,1st,12,Big,0.38,0.5,0,12,1
1000001933,28,Duo,1,>=1990,>25,daughter,2nd,12,Big,0.38,0.5,0,12,1
1000002004,24,Duo,1,>=1990,20-25,daughter,1st,24,Medium,0.43,0.29,0,24,0
1000002004,24,Duo,1,>=1990,20-25,son,2nd,2,Medium,0.43,0.29,0,2,0
1000002103,24,Patri,1,>=1990,<20,daughter,1st,11,Medium,0.13,0.38,0.375,11,1
1000002125,24,Patri,1,1980-1989,>25,daughter,1st,2,Medium,0.4,0.5,0.25,2,1
1000002125,24,Patri,1,1980-1989,>25,daughter,2nd,3,Medium,0.4,0.5,0.5,3,1
1000002125,24,Patri,1,1980-1989,>25,daughter,2nd,6,Medium,0.4,0.5,0.5,6,1
1000002135,24,Patri,1,>=1990,<20,son,1st,3,Medium,0.14,0.36,0.428571429,3,1
1000002135,24,Patri,1,>=1990,20-25,son,2nd,3,Medium,0.14,0.36,0.428571429,3,1
1000002189,24,Matri,1,1980-1989,20-25,daughter,1st,4,Medium,0.4,0.4,0.2,4,1
1000002189,24,Matri,1,1980-1989,20-25,son,2nd,12,Medium,0.4,0.4,0.2,12,1
1000002270,24,Matri,1,1980-1989,>25,daughter,1st,13,Small,0.33,0.5,0.333333333,13,1
1000002270,24,Matri,1,1980-1989,>25,daughter,2nd,24,Small,0.33,0.5,0.333333333,24,0
1000002365,24,Neo,1,>=1990,<20,son,1st,24,Medium,0.25,0.4,0.375,24,0
1000002365,24,Neo,1,>=1990,<20,daughter,2nd,36,Medium,0.25,0.4,0.375,24,0
1000002389,24,Duo,1,>=1990,<20,son,1st,6,Medium,0.5,0.31,0,6,1
1000002415,24,Matri,1,>=1990,<20,daughter,1st,3,Big,0.31,0.32,0.166666667,3,1
1000002415,24,Matri,1,>=1990,20-25,daughter,2nd,1,Big,0.31,0.32,0.166666667,1,1
1000002421,24,Duo,1,>=1990,<20,son,1st,24,Medium,0.38,0.27,0.03125,24,1
1000002421,24,Duo,1,>=1990,>25,daughter,2nd,2,Big,0.38,0.27,0.03125,2,0
1000002460,24,Duo,1,>=1990,20-25,son,1st,16,Medium,0.5,0.29,0,16,1
1000002513,24,Neo,1,>=1990,<20,son,1st,12,Medium,0.43,0.39,0.214285714,12,1
1000002513,24,Neo,1,>=1990,20-25,son,2nd,6,Medium,0.43,0.39,0.214285714,6,1
1000002513,24,Neo,1,>=1990,20-25,daughter,2nd,6,Medium,0.43,0.39,0.214285714,6,1
1000002545,11,Duo,1,>=1990,20-25,daughter,1st,24,Small,0.5,0.33,0,24,1
1000002548,11,Duo,1,>=1990,20-25,daughter,1st,36,Medium,0.44,0.28,0,24,0
1000002573,11,Neo,1,1980-1989,>25,daughter,1st,13,Big,0.38,0.25,0,13,1
1000002573,11,Neo,1,1980-1989,>25,son,2nd,NA,Big,0.38,0.25,0,24,0
1000002680,11,Duo,1,>=1990,<20,son,1st,24,Medium,0.29,0.23,0.03125,24,0
1000002680,11,Duo,1,>=1990,20-25,son,2nd,16,Medium,0.29,0.23,0.03125,16,1
1000002714,26,Duo,1,>=1990,<20,daughter,1st,12,Big,0.38,0.25,0.214285714,12,1
1000002714,26,Duo,1,>=1990,20-25,daughter,2nd,12,Big,0.38,0.25,0.214285714,12,1
1000002727,26,Duo,1,1980-1989,>25,daughter,1st,12,Big,0.33,0.19,0,12,1
1000002754,26,Matri,1,>=1990,20-25,son,1st,8,Big,0.38,0.31,0.03125,8,1
1000002754,26,Matri,1,>=1990,20-25,son,2nd,8,Big,0.38,0.31,0.03125,8,1
1000002754,26,Matri,1,>=1990,>25,son,2nd,9,Big,0.38,0.31,0.03125,9,1
1000002778,26,Matri,1,>=1990,<20,daughter,1st,8,Medium,0.38,0.38,0.125,8,1
1000002819,26,Duo,1,1980-1989,20-25,daughter,1st,24,Big,0.41,0.3,0.03125,24,1
1000002819,26,Duo,1,1980-1989,20-25,daughter,2nd,24,Big,0.41,0.3,0.03125,24,1
1000002819,26,Duo,1,1980-1989,20-25,daughter,2nd,24,Big,0.41,0.3,0.03125,24,1
1000002819,26,Duo,1,1980-1989,>25,daughter,2nd,24,Big,0.41,0.3,0.03125,24,1
1000002840,26,Duo,1,>=1990,<20,son,1st,7,Medium,0.4,0.25,0.03125,7,0
1000002904,26,Duo,1,>=1990,<20,son,1st,14,Small,0.42,0.29,0,14,0
1000002927,26,Duo,1,>=1990,20-25,son,1st,11,Medium,0.39,0.27,0.03125,11,1
1000002927,26,Duo,1,>=1990,20-25,son,2nd,2,Medium,0.39,0.27,0,2,0
1000002930,26,Neo,1,>=1990,20-25,daughter,1st,36,Medium,0.36,0.29,0.071428571,24,0
1000003034,26,Patri,1,1980-1989,20-25,daughter,1st,24,Big,0.1,0.41,0.525,24,1
1000003034,26,Patri,1,1980-1989,20-25,son,2nd,24,Big,0.1,0.41,0.525,24,1
1000003052,26,Duo,1,>=1990,20-25,son,1st,8,Big,0.38,0.23,0.428571429,8,1
1000003070,26,Duo,1,>=1990,<20,daughter,1st,12,Medium,0.4,0.3,0.428571429,12,1
1000003070,26,Duo,1,>=1990,20-25,daughter,2nd,36,Medium,0.4,0.3,0.03125,24,0
1000003083,26,Duo,1,>=1990,20-25,son,1st,36,Medium,0.46,0.31,0,24,0
1000003083,26,Duo,1,>=1990,20-25,son,2nd,36,Medium,0.46,0.31,0,24,0
1000003091,26,Patri,1,>=1990,20-25,son,1st,36,Medium,0.21,0.39,0.428571429,24,0
1000003091,26,Patri,1,>=1990,20-25,daughter,2nd,36,Medium,0.21,0.39,0.428571429,24,0
1000003091,26,Patri,1,>=1990,>25,son,2nd,1,Medium,0.21,0.39,0.428571429,1,0
1000003109,26,Duo,1,>=1990,20-25,daughter,1st,17,Medium,0.5,0.3,0,17,1
1000003113,26,Neo,1,1980-1989,>25,daughter,1st,24,Medium,0.21,0.48,0.482142857,24,1
1000003113,26,Neo,1,1980-1989,>25,daughter,2nd,36,Medium,0.21,0.48,0.482142857,24,0
1000003113,26,Neo,1,1980-1989,>25,daughter,2nd,28,Medium,0.21,0.48,0.482142857,24,0
1000003132,26,Matri,1,>=1990,20-25,daughter,1st,12,Medium,0.4,0.4,0.2,12,1
1000003132,26,Matri,1,>=1990,>25,son,2nd,24,Medium,0.4,0.4,0.2,24,0
1000003142,26,Duo,1,>=1990,20-25,son,1st,24,Medium,0.42,0.29,0,24,0
1000003142,26,Duo,1,>=1990,20-25,daughter,2nd,18,Medium,0.42,0.29,0,18,0
1000003149,26,Matri,1,<1980,>25,daughter,1st,4,Big,0.33,0.42,0.333333333,4,1
1000003149,26,Matri,1,<1980,>25,son,2nd,3,Big,0.33,0.42,0.333333333,3,1
1000003149,26,Matri,1,<1980,>25,daughter,2nd,5,Big,0.33,0.42,0.333333333,5,1
1000003149,26,Matri,1,<1980,>25,daughter,2nd,12,Big,0.33,0.42,0.333333333,12,0
1000003156,26,Duo,1,1980-1989,>25,daughter,1st,4,Big,0.46,0.31,0,4,0
1000003247,26,Matri,1,>=1990,20-25,son,1st,36,Medium,0.4,0.4,0.2,24,0
1000003247,26,Matri,1,>=1990,20-25,daughter,2nd,48,Medium,0.4,0.4,0.2,24,0
1000003259,26,Patri,1,>=1990,20-25,daughter,1st,12,Big,0.17,0.38,0.416666667,12,1
1000003259,26,Patri,1,>=1990,20-25,daughter,2nd,8,Big,0.17,0.38,0.416666667,8,1
1000003266,26,Matri,1,>=1990,<20,daughter,1st,1,Big,0.42,0.33,0.083333333,1,0
1000003277,26,Duo,1,1980-1989,20-25,daughter,1st,NA,Medium,0.41,0.28,0,24,1
1000003277,26,Duo,1,1980-1989,>25,daughter,2nd,1,Medium,0.41,0.28,0,1,1
1000003295,26,Neo,1,>=1990,<20,daughter,1st,24,Medium,0.21,0.39,0.428571429,24,1
1000003295,26,Neo,1,>=1990,20-25,daughter,2nd,24,Medium,0.21,0.39,0.428571429,24,1
1000003295,26,Neo,1,>=1990,20-25,daughter,2nd,12,Medium,0.21,0.39,0.428571429,12,1
1000003302,26,Duo,1,>=1990,<20,son,1st,9,Medium,0.5,0.3,0.03125,9,1
